n;nhsn_code;procedimiento_qx;descripcion;cie9
1;AAA;Reparación de aneurisma de aorta abdominal;Resección de la aorta abdominal con anastomosis o reemplazo de lamisma;38.34
2;AAA;Reparación de aneurisma de aorta abdominal;Resección de la aorta abdominal con anastomosis o reemplazo de lamisma;38.44
3;AAA;Reparación de aneurisma de aorta abdominal;Resección de la aorta abdominal con anastomosis o reemplazo de lamisma;38.64
4;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.00
5;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.01
6;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.02
7;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.03
8;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.04
9;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.05
10;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.06
11;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.07
12;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.08
13;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.09
14;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.10
15;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.11
16;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.12
17;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.13
18;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.14
19;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.15
20;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.16
21;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.17
22;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.18
23;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.19
24;AMP;Amputación de extremidad;Amputación o desarticulación total o parcial de una extremidad superior o inferior, incluyendo los dedos;84.91
25;APPY;Apendicectomía;Extirpación del apéndice (no incidental en otroprocedimiento quirúrgico);47.01
26;APPY;Apendicectomía;Extirpación del apéndice (no incidental en otroprocedimiento quirúrgico);47.09
27;APPY;Apendicectomía;Extirpación del apéndice (no incidental en otroprocedimiento quirúrgico);47.2
28;APPY;Apendicectomía;Extirpación del apéndice (no incidental en otroprocedimiento quirúrgico);47.91
29;APPY;Apendicectomía;Extirpación del apéndice (no incidental en otroprocedimiento quirúrgico);47.92
30;APPY;Apendicectomía;Extirpación del apéndice (no incidental en otroprocedimiento quirúrgico);47.99
31;AVSD;Fístula para diálisis renal;Arteriovenostomía para diálisis renal;39.27
32;AVSD;Fístula para diálisis renal;Arteriovenostomía para diálisis renal;39.42
33;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.0
34;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.12
35;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.14
36;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.21
37;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.22
38;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.23
39;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.25
40;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.26
41;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.29
42;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.3
43;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.4
44;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.61
45;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);50.69
46;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.31
47;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.32
48;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.33
49;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.34
50;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.35
51;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.36
52;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.37
53;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.39
54;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.41
55;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.42
56;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.43
57;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.49
58;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.51
59;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.59
60;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.61
61;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.62
62;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.63
63;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.69
64;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.71
65;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.72
66;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.79
67;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.81
68;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.82
69;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.83
70;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.89
71;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.91
72;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.92
73;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.93
74;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.94
75;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.95
76;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);51.99
77;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.09
78;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.12
79;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.22
80;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.3
81;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.4
82;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.51
83;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.52
84;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.53
85;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.59
86;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.6
87;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.7
88;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.92
89;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.95
90;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.96
91;BILI;Cirugía de vías biliares, hígado o páncreas;Escisión de las vías biliares o intervenciones en conductos biliares, hígado o páncreas (no incluye intervenciones sobre la vesícula biliar únicamente, p.e.: colecistectomía);52.99
92;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.12
93;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.20-85.23
94;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.31-85.36
95;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.41-85.48
96;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.50
97;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.53
98;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.54
99;BRST;Operaciones sobre la mama;Escisión de lesiones o tejido mamario incluyendo la resección radical, modificada o de cuadrantes, lumpectomía, biopsia abierta, o mamoplastia.;85.6
